transaction_date,customer_id,region,product_category,units_sold,unit_price,revenue,high_value
2024-02-10,2167,West,Beauty,5.0,20,103.5121865061424,0
2024-03-16,2091,North,Clothing,1.0,60,24.896229017888142,0
2024-09-25,2577,Unknown,Home,13.0,40,533.6475371343209,0
2024-12-21,1799,North,Clothing,2.0,40,115.1215551836028,0
2024-08-08,2394,West,Beauty,8.0,40,305.98820149286945,0
2023-07-01,1554,North,Home,14.0,40,556.3130377711137,0
2024-12-25,1512,South,Sports,2.0,60,130.23940800504843,0
2023-10-25,1856,Unknown,Clothing,19.0,40,752.333595808505,1
2024-08-06,2142,North,Sports,17.0,60,1020.5613856965948,1
2024-02-03,2762,North,Clothing,2.0,60,171.44047004700997,0
2023-10-29,2891,West,Sports,2.0,60,120.0,0
2023-04-28,2692,North,Beauty,10.0,60,887.9823005986148,1
2023-05-31,1546,South,Home,9.0,40,365.4343612051903,0
2024-10-09,1093,Unknown,Home,5.0,150,779.9224408409121,1
2024-02-10,2003,Unknown,Sports,12.0,60,710.6994326499116,1
2023-10-18,2481,North,Electronics,10.0,20,168.43865116426264,0
2024-01-05,1375,Unknown,Clothing,6.0,100,555.3251109954982,0
2024-07-19,2568,Unknown,Clothing,2.0,60,95.03843107574272,0
2024-12-01,1665,South,Home,5.0,20,100.0,0
2024-11-07,2080,West,Home,13.0,60,760.9990530542632,1
2024-05-30,2242,West,Clothing,1.0,100,112.92296297153672,0
2023-10-02,1085,West,Home,14.0,40,595.1248843910969,0
2023-09-30,1245,West,Beauty,7.0,100,741.007593470807,1
2023-03-02,1789,North,Clothing,1.0,20,14.991139308390633,0
2023-07-05,2308,North,Sports,8.0,60,516.0302110345681,0
2023-06-27,1382,North,Clothing,11.0,40,465.146250942245,0
2024-03-25,2880,West,Clothing,12.0,150,1793.5774382810826,1
2024-03-12,2833,East,Home,10.0,20,155.5484141620654,0
2023-04-19,1302,West,Clothing,4.0,20,64.94114310584337,0
2023-03-25,1213,South,Beauty,10.0,150,2232.3543537781675,1
2024-03-30,1776,West,Beauty,11.0,60,674.2820425753246,0
2023-07-31,2024,North,Sports,13.0,150,1970.9088641860003,1
2023-01-16,1136,North,Beauty,16.0,100,1624.4131734362095,1
2024-06-23,1961,North,Electronics,15.0,40,606.7137477498449,0
2023-08-28,1969,West,Clothing,1.0,60,47.94151375604274,0
2024-10-29,1000,West,Beauty,15.0,20,306.27850811559256,0
2024-11-22,2235,South,Beauty,5.0,60,287.8265510406161,0
2023-10-05,1348,North,Electronics,19.0,100,1932.780905897085,1
2024-02-27,2681,Unknown,Electronics,8.0,20,159.92691128399014,0
2023-12-30,1704,Unknown,Home,18.0,60,1091.2402731462294,1
2024-09-25,1180,North,Sports,8.0,100,786.7441633534785,1
2023-10-26,1864,North,Clothing,10.0,150,1466.6591202786892,1
2023-03-29,1036,North,Clothing,10.0,150,1814.6515140957688,1
